url,category,slug,priority,clicks,impressions,position,ctr
"https://alchemyinvestmentsre.com/property/contemporary-apartment/","services","property-contemporary-apartment",7,0,55,"13.6","N/A"
"https://alchemyinvestmentsre.com/property/villa-with-ocean-and-bay-view/","services","property-villa-with-ocean-and-bay-view",6,0,5,"13.6","N/A"
"https://alchemyinvestmentsre.com/status/for-rent/","services","status-for-rent",6,0,8,"14.5","N/A"
"https://alchemyinvestmentsre.com/property/comfortable-apartment-bay-view/","services","property-comfortable-apartment-bay-view",4,0,4,"16.0","N/A"
"https://alchemyinvestmentsre.com/property/penthouse-apartment-2/","services","property-penthouse-apartment-2",3,0,11,"17.5","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment-on-the-bay/","services","property-modern-apartment-on-the-bay",2,0,7,"18.0","N/A"
"https://alchemyinvestmentsre.com/property/luxury-apartment-bay-view/","services","property-luxury-apartment-bay-view",1,0,4,"18.8","N/A"
"https://alchemyinvestmentsre.com/feature/laundry/?is_otto_page_fetch=1","services","feature-laundry",0,0,1,"84.0","N/A"
"https://alchemyinvestmentsre.com/feature/outdoor-shower/?is_otto_page_fetch=1","services","feature-outdoor-shower",0,0,1,"96.0","N/A"
"https://alchemyinvestmentsre.com/property/amazing-home-for-family-2/","services","property-amazing-home-for-family-2",0,0,5,"47.4","N/A"
"https://alchemyinvestmentsre.com/property/amazing-home-for-family/","services","property-amazing-home-for-family",0,0,3,"61.0","N/A"
"https://alchemyinvestmentsre.com/property/amazing-oceanfront-apartment/","services","property-amazing-oceanfront-apartment",0,0,2,"92.5","N/A"
"https://alchemyinvestmentsre.com/property/ample-apartment-at-last-floor-2/","services","property-ample-apartment-at-last-floor-2",0,0,12,"56.2","N/A"
"https://alchemyinvestmentsre.com/property/ample-apartment-at-last-floor/","services","property-ample-apartment-at-last-floor",0,0,20,"76.3","N/A"
"https://alchemyinvestmentsre.com/property/ample-apartment/","services","property-ample-apartment",0,0,3,"79.0","N/A"
"https://alchemyinvestmentsre.com/property/ample-penthouse/","services","property-ample-penthouse",0,0,3,"44.0","N/A"
"https://alchemyinvestmentsre.com/property/confortable-apartment/","services","property-confortable-apartment",0,0,1,"37.0","N/A"
"https://alchemyinvestmentsre.com/property/design-place-apartment/","services","property-design-place-apartment",0,0,10,"41.5","N/A"
"https://alchemyinvestmentsre.com/property/family-home-for-sale/","services","property-family-home-for-sale",0,0,4,"59.5","N/A"
"https://alchemyinvestmentsre.com/property/gorgeous-apartment-bay-front/","services","property-gorgeous-apartment-bay-front",0,0,2,"29.5","N/A"
"https://alchemyinvestmentsre.com/property/guaranteed-modern-home/","services","property-guaranteed-modern-home",0,0,7,"36.7","N/A"
"https://alchemyinvestmentsre.com/property/luxury-family-home-3/","services","property-luxury-family-home-3",0,0,3,"42.3","N/A"
"https://alchemyinvestmentsre.com/property/luxury-villa-with-oceanview/","services","property-luxury-villa-with-oceanview",0,0,6,"51.0","N/A"
"https://alchemyinvestmentsre.com/property/luxury-villa-with-pool/","services","property-luxury-villa-with-pool",0,0,16,"39.8","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment-2/","services","property-modern-apartment-2",0,0,19,"35.1","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment-on-the-bay-2/","services","property-modern-apartment-on-the-bay-2",0,0,6,"50.2","N/A"
"https://alchemyinvestmentsre.com/property/modern-apartment/","services","property-modern-apartment",0,0,25,"47.4","N/A"
"https://alchemyinvestmentsre.com/property/modern-day-apartment/","services","property-modern-day-apartment",0,0,8,"57.1","N/A"
"https://alchemyinvestmentsre.com/property/penthouse-apartment/","services","property-penthouse-apartment",0,0,4,"38.5","N/A"
"https://alchemyinvestmentsre.com/property/relaxing-apartment-ocean-view/","services","property-relaxing-apartment-ocean-view",0,0,8,"41.9","N/A"
"https://alchemyinvestmentsre.com/property/renovated-apartment/","services","property-renovated-apartment",0,0,8,"36.1","N/A"
"https://alchemyinvestmentsre.com/property/villa-for-sale/","services","property-villa-for-sale",0,0,4,"34.0","N/A"
